t,r2
7.810000000000000000e+02,9.333587721477081267e-01
7.820000000000000000e+02,9.333362266283328212e-01
7.830000000000000000e+02,9.333136445054466268e-01
7.840000000000000000e+02,9.332910873516362393e-01
7.850000000000000000e+02,9.332687404761553784e-01
7.860000000000000000e+02,9.332465157984055626e-01
7.870000000000000000e+02,9.332243189140319028e-01
7.880000000000000000e+02,9.332019812844645212e-01
7.890000000000000000e+02,9.331796544333247345e-01
7.900000000000000000e+02,9.331573769303587174e-01
7.910000000000000000e+02,9.331349677962834654e-01
7.920000000000000000e+02,9.331127514207514517e-01
7.930000000000000000e+02,9.330905856276758836e-01
7.940000000000000000e+02,9.330683792327042481e-01
7.950000000000000000e+02,9.330462520820036465e-01
7.960000000000000000e+02,9.330241166298851585e-01
7.970000000000000000e+02,9.330020834333814239e-01
7.980000000000000000e+02,9.329800521355716691e-01
7.990000000000000000e+02,9.329581479321874538e-01
8.000000000000000000e+02,9.329364215045726771e-01
8.010000000000000000e+02,9.329145254477326787e-01
8.020000000000000000e+02,9.328927173270374906e-01
8.030000000000000000e+02,9.328710535261205417e-01
8.040000000000000000e+02,9.328492259102887374e-01
8.050000000000000000e+02,9.328275641717191924e-01
8.060000000000000000e+02,9.328058553939628794e-01
8.070000000000000000e+02,9.327843455985997956e-01
8.080000000000000000e+02,9.327629102970156350e-01
8.090000000000000000e+02,9.327414890142777804e-01
8.100000000000000000e+02,9.327200966622928302e-01
8.110000000000000000e+02,9.326987979715698485e-01
8.120000000000000000e+02,9.326775938619176198e-01
8.130000000000000000e+02,9.326565644039512826e-01
8.140000000000000000e+02,9.326356046714794346e-01
8.150000000000000000e+02,9.326148311580696459e-01
8.160000000000000000e+02,9.325938920160756762e-01
8.170000000000000000e+02,9.325730737092409184e-01
8.180000000000000000e+02,9.325522382455435633e-01
8.190000000000000000e+02,9.325314285235479783e-01
8.200000000000000000e+02,9.325106062768555581e-01
8.210000000000000000e+02,9.324897966857901288e-01
8.220000000000000000e+02,9.324690471770088473e-01
8.230000000000000000e+02,9.324483461970294318e-01
8.240000000000000000e+02,9.324274534436358675e-01
8.250000000000000000e+02,9.324066986188188633e-01
8.260000000000000000e+02,9.323858036373271485e-01
8.270000000000000000e+02,9.323650093156159446e-01
8.280000000000000000e+02,9.323441996649294294e-01
8.290000000000000000e+02,9.323232627466175870e-01
8.300000000000000000e+02,9.323022859483380831e-01
8.310000000000000000e+02,9.322811678752034314e-01
8.320000000000000000e+02,9.322599298274745205e-01
8.330000000000000000e+02,9.322385902744947384e-01
8.340000000000000000e+02,9.322172186433014263e-01
8.350000000000000000e+02,9.321956484537781140e-01
8.360000000000000000e+02,9.321741855180782910e-01
8.370000000000000000e+02,9.321524820640531006e-01
8.380000000000000000e+02,9.321308928316217601e-01
8.390000000000000000e+02,9.321092197901930110e-01
8.400000000000000000e+02,9.320874632748318289e-01
8.410000000000000000e+02,9.320654767638149041e-01
8.420000000000000000e+02,9.320432579203790091e-01
8.430000000000000000e+02,9.320210839988437579e-01
8.440000000000000000e+02,9.319987017477469049e-01
8.450000000000000000e+02,9.319762636377668663e-01
8.460000000000000000e+02,9.319537296183756370e-01
8.470000000000000000e+02,9.319309639211676988e-01
8.480000000000000000e+02,9.319080763806748546e-01
8.490000000000000000e+02,9.318849580637348362e-01
8.500000000000000000e+02,9.318617895563463538e-01
8.510000000000000000e+02,9.318386497357896703e-01
8.520000000000000000e+02,9.318153706706910899e-01
8.530000000000000000e+02,9.317920255741001245e-01
8.540000000000000000e+02,9.317683763325380619e-01
8.550000000000000000e+02,9.317447724198897330e-01
8.560000000000000000e+02,9.317210933458608402e-01
8.570000000000000000e+02,9.316973627735006813e-01
8.580000000000000000e+02,9.316734719558426026e-01
8.590000000000000000e+02,9.316494723714401349e-01
8.600000000000000000e+02,9.316254231371093875e-01
8.610000000000000000e+02,9.316012865601190907e-01
8.620000000000000000e+02,9.315771673466641811e-01
8.630000000000000000e+02,9.315528405869439865e-01
8.640000000000000000e+02,9.315283582005474683e-01
8.650000000000000000e+02,9.315037777954650045e-01
8.660000000000000000e+02,9.314791391277621457e-01
8.670000000000000000e+02,9.314543717166208214e-01
8.680000000000000000e+02,9.314294408214871535e-01
8.690000000000000000e+02,9.314044489520703074e-01
8.700000000000000000e+02,9.313794755280733195e-01
8.710000000000000000e+02,9.313543098818020116e-01
8.720000000000000000e+02,9.313292535676307438e-01
8.730000000000000000e+02,9.313040247685797635e-01
8.740000000000000000e+02,9.312787698033510031e-01
8.750000000000000000e+02,9.312534584713118013e-01
8.760000000000000000e+02,9.312281377179256747e-01
8.770000000000000000e+02,9.312026300919321598e-01
8.780000000000000000e+02,9.311768769016838254e-01
8.790000000000000000e+02,9.311513140761719098e-01
8.800000000000000000e+02,9.311256078584221330e-01
8.810000000000000000e+02,9.310997604728241672e-01
8.820000000000000000e+02,9.310737722148179074e-01
8.830000000000000000e+02,9.310477129770722282e-01
8.840000000000000000e+02,9.310215475108979399e-01
8.850000000000000000e+02,9.309950722910116383e-01
8.860000000000000000e+02,9.309688222870013963e-01
8.870000000000000000e+02,9.309421834324040912e-01
8.880000000000000000e+02,9.309155250036186269e-01
8.890000000000000000e+02,9.308887510121465203e-01
8.900000000000000000e+02,9.308618065300998667e-01
8.910000000000000000e+02,9.308348165634021676e-01
8.920000000000000000e+02,9.308076204599582404e-01
8.930000000000000000e+02,9.307802181127109442e-01
8.940000000000000000e+02,9.307527193446254454e-01
8.950000000000000000e+02,9.307250016382097035e-01
8.960000000000000000e+02,9.306971253433252711e-01
8.970000000000000000e+02,9.306692094985201669e-01
8.980000000000000000e+02,9.306410513252560968e-01
8.990000000000000000e+02,9.306126910016302434e-01
9.000000000000000000e+02,9.305843048127732109e-01
9.010000000000000000e+02,9.305557853026755755e-01
9.020000000000000000e+02,9.305271142481845725e-01
9.030000000000000000e+02,9.304982054505825939e-01
9.040000000000000000e+02,9.304692552960363017e-01
9.050000000000000000e+02,9.304402755552074744e-01
9.060000000000000000e+02,9.304111935908818687e-01
9.070000000000000000e+02,9.303818722010588349e-01
9.080000000000000000e+02,9.303524820805210149e-01
9.090000000000000000e+02,9.303229285187798459e-01
9.100000000000000000e+02,9.302933669950704809e-01
9.110000000000000000e+02,9.302637682531180729e-01
9.120000000000000000e+02,9.302341429588650845e-01
9.130000000000000000e+02,9.302042744844741806e-01
9.140000000000000000e+02,9.301744399900958582e-01
9.150000000000000000e+02,9.301444418202735598e-01
9.160000000000000000e+02,9.301145858204300509e-01
9.170000000000000000e+02,9.300844716347507202e-01
9.180000000000000000e+02,9.300543108314082152e-01
9.190000000000000000e+02,9.300241657006279583e-01
9.200000000000000000e+02,9.299939450237117988e-01
9.210000000000000000e+02,9.299637742703743548e-01
9.220000000000000000e+02,9.299335155025189037e-01
9.230000000000000000e+02,9.299030164379730179e-01
9.240000000000000000e+02,9.298725429946606003e-01
9.250000000000000000e+02,9.298419361071880163e-01
9.260000000000000000e+02,9.298112483918128390e-01
9.270000000000000000e+02,9.297806262632190011e-01
9.280000000000000000e+02,9.297501120159368249e-01
9.290000000000000000e+02,9.297193807371901819e-01
9.300000000000000000e+02,9.296886449776562422e-01
9.310000000000000000e+02,9.296578705331823844e-01
9.320000000000000000e+02,9.296270095512743081e-01
9.330000000000000000e+02,9.295961844072901936e-01
9.340000000000000000e+02,9.295653102970521386e-01
9.350000000000000000e+02,9.295344182378177944e-01
9.360000000000000000e+02,9.295035268132660899e-01
9.370000000000000000e+02,9.294726117295445400e-01
9.380000000000000000e+02,9.294415930630358647e-01
9.390000000000000000e+02,9.294103451104063218e-01
9.400000000000000000e+02,9.293790544224220795e-01
9.410000000000000000e+02,9.293475633240431133e-01
9.420000000000000000e+02,9.293160389437142843e-01
9.430000000000000000e+02,9.292844272972519137e-01
9.440000000000000000e+02,9.292528142576972350e-01
9.450000000000000000e+02,9.292210247492609376e-01
9.460000000000000000e+02,9.291890127953602585e-01
9.470000000000000000e+02,9.291570937196358404e-01
9.480000000000000000e+02,9.291249837047862448e-01
9.490000000000000000e+02,9.290929088461014063e-01
9.500000000000000000e+02,9.290606916863151099e-01
9.510000000000000000e+02,9.290284090170184417e-01
9.520000000000000000e+02,9.289959504365473686e-01
9.530000000000000000e+02,9.289631812467892269e-01
9.540000000000000000e+02,9.289303307320493364e-01
9.550000000000000000e+02,9.288972550477814227e-01
9.560000000000000000e+02,9.288641812307132373e-01
9.570000000000000000e+02,9.288309617913049765e-01
9.580000000000000000e+02,9.287974561676505258e-01
9.590000000000000000e+02,9.287637450399386374e-01
9.600000000000000000e+02,9.287299613138351173e-01
9.610000000000000000e+02,9.286959950353002036e-01
9.620000000000000000e+02,9.286617641272287837e-01
9.630000000000000000e+02,9.286273073739466088e-01
9.640000000000000000e+02,9.285927348892122346e-01
9.650000000000000000e+02,9.285580955949417348e-01
9.660000000000000000e+02,9.285232090808577254e-01
9.670000000000000000e+02,9.284881676686959073e-01
9.680000000000000000e+02,9.284528814438722799e-01
9.690000000000000000e+02,9.284175050052054790e-01
9.700000000000000000e+02,9.283818129696241872e-01
9.710000000000000000e+02,9.283460210029368387e-01
9.720000000000000000e+02,9.283101738809386161e-01
9.730000000000000000e+02,9.282741022560876409e-01
9.740000000000000000e+02,9.282379066179345939e-01
9.750000000000000000e+02,9.282015668479590698e-01
9.760000000000000000e+02,9.281649287623419120e-01
9.770000000000000000e+02,9.281283338099977076e-01
9.780000000000000000e+02,9.280914914880346034e-01
9.790000000000000000e+02,9.280544800629413338e-01
9.800000000000000000e+02,9.280173849992388035e-01
9.810000000000000000e+02,9.279799547203035903e-01
9.820000000000000000e+02,9.279424206543319675e-01
9.830000000000000000e+02,9.279045833440957569e-01
9.840000000000000000e+02,9.278665472713175655e-01
9.850000000000000000e+02,9.278286051695365799e-01
9.860000000000000000e+02,9.277904151730428373e-01
9.870000000000000000e+02,9.277522168190566187e-01
9.880000000000000000e+02,9.277137822921257548e-01
9.890000000000000000e+02,9.276752087398449920e-01
9.900000000000000000e+02,9.276365467579535951e-01
9.910000000000000000e+02,9.275977396735406444e-01
9.920000000000000000e+02,9.275589642366069976e-01
9.930000000000000000e+02,9.275200165445649514e-01
9.940000000000000000e+02,9.274810471755017272e-01
9.950000000000000000e+02,9.274418374681233646e-01
9.960000000000000000e+02,9.274026250034140828e-01
9.970000000000000000e+02,9.273632963339489832e-01
9.980000000000000000e+02,9.273239261810037881e-01
9.990000000000000000e+02,9.272846364965586785e-01
1.000000000000000000e+03,9.272452545071020458e-01
1.001000000000000000e+03,9.272058391216163598e-01
1.002000000000000000e+03,9.271663975412169911e-01
1.003000000000000000e+03,9.271268965296557418e-01
1.004000000000000000e+03,9.270872704389181429e-01
1.005000000000000000e+03,9.270476475715243581e-01
1.006000000000000000e+03,9.270078144968512124e-01
1.007000000000000000e+03,9.269682593781662927e-01
1.008000000000000000e+03,9.269285796902692054e-01
1.009000000000000000e+03,9.268888937375574510e-01
1.010000000000000000e+03,9.268492532074993351e-01
1.011000000000000000e+03,9.268095336411473761e-01
1.012000000000000000e+03,9.267699536439240049e-01
1.013000000000000000e+03,9.267303325966284033e-01
1.014000000000000000e+03,9.266906712761195930e-01
1.015000000000000000e+03,9.266510385654249671e-01
1.016000000000000000e+03,9.266113927605881262e-01
1.017000000000000000e+03,9.265716531170342662e-01
1.018000000000000000e+03,9.265320757886588154e-01
1.019000000000000000e+03,9.264923565422606977e-01
1.020000000000000000e+03,9.264526986490004834e-01
1.021000000000000000e+03,9.264130402567413158e-01
1.022000000000000000e+03,9.263733896446415539e-01
1.023000000000000000e+03,9.263337448950899056e-01
1.024000000000000000e+03,9.262941247320664040e-01
1.025000000000000000e+03,9.262544046446454793e-01
1.026000000000000000e+03,9.262146450886831195e-01
1.027000000000000000e+03,9.261748909647915529e-01
