t,r2
1.299000000000000000e+03,9.763588338861943772e-01
1.300000000000000000e+03,9.763290665473519647e-01
1.301000000000000000e+03,9.762993462394512489e-01
1.302000000000000000e+03,9.762695138611833245e-01
1.303000000000000000e+03,9.762396232430529119e-01
1.304000000000000000e+03,9.762098285538516329e-01
1.305000000000000000e+03,9.761799304681404443e-01
1.306000000000000000e+03,9.761501011020402574e-01
1.307000000000000000e+03,9.761202796689533168e-01
1.308000000000000000e+03,9.760903405743146521e-01
1.309000000000000000e+03,9.760604534384993425e-01
1.310000000000000000e+03,9.760305274677517628e-01
1.311000000000000000e+03,9.760006252906975321e-01
1.312000000000000000e+03,9.759706605676614632e-01
1.313000000000000000e+03,9.759407403544801962e-01
1.314000000000000000e+03,9.759108466411879901e-01
1.315000000000000000e+03,9.758808515293471153e-01
1.316000000000000000e+03,9.758508624645119145e-01
1.317000000000000000e+03,9.758207242682113147e-01
1.318000000000000000e+03,9.757905382782997572e-01
1.319000000000000000e+03,9.757603842828589391e-01
1.320000000000000000e+03,9.757301585183012493e-01
1.321000000000000000e+03,9.756998318141216764e-01
1.322000000000000000e+03,9.756694844395599198e-01
1.323000000000000000e+03,9.756391212557715686e-01
1.324000000000000000e+03,9.756087555202292982e-01
1.325000000000000000e+03,9.755783732317524493e-01
1.326000000000000000e+03,9.755478260807536328e-01
1.327000000000000000e+03,9.755172815060842995e-01
1.328000000000000000e+03,9.754866432851533320e-01
1.329000000000000000e+03,9.754559619927962721e-01
1.330000000000000000e+03,9.754251882128314177e-01
1.331000000000000000e+03,9.753943729955170117e-01
1.332000000000000000e+03,9.753634668720614354e-01
1.333000000000000000e+03,9.753325730926012405e-01
1.334000000000000000e+03,9.753014888087990775e-01
1.335000000000000000e+03,9.752704498338723438e-01
1.336000000000000000e+03,9.752391954035130039e-01
1.337000000000000000e+03,9.752079505610368182e-01
1.338000000000000000e+03,9.751765985184019936e-01
1.339000000000000000e+03,9.751450708164254300e-01
1.340000000000000000e+03,9.751134758431440064e-01
1.341000000000000000e+03,9.750817407662744074e-01
1.342000000000000000e+03,9.750498451993946381e-01
1.343000000000000000e+03,9.750178785093019940e-01
